ID,Input,Output,Cluster
yellow_1,31,259.295816813875,K3
yellow_1,73,301.299851455305,K3
yellow_1,85,319.537877150123,K3
yellow_1,135,379.719319371218,K3
yellow_1,194,399.103252240558,K3
yellow_2,11,228.141371236335,K3
yellow_2,62,289.482257622108,K3
yellow_2,97,353.202649493382,K3
yellow_2,147,390.61579131295,K3
yellow_2,167,392.269836583221,K3
yellow_3,13,263.08454932562,K3
yellow_3,66,320.037805710374,K3
yellow_3,106,373.23877229409,K3
yellow_3,156,414.006025558157,K3
yellow_3,185,441.108031726553,K3
yellow_4,27,223.280362516295,K3
yellow_4,72,301.891150261785,K3
yellow_4,85,315.076368169494,K3
yellow_4,128,344.686677050679,K3
yellow_4,176,375.43389945526,K3
purple_5,31,108.949264279944,K1
purple_5,42,153.774018421177,K1
purple_5,108,361.812917131793,K1
purple_5,133,432.119809603242,K1
purple_5,176,517.570755624261,K1
purple_6,21,99.19773534943,K1
purple_6,68,249.801372887614,K1
purple_6,110,374.036051590556,K1
purple_6,133,445.947479092099,K1
purple_6,179,503.638979880944,K1
purple_7,10,60.5467412609984,K1
purple_7,44,164.440446041227,K1
purple_7,95,304.194169208082,K1
purple_7,131,402.740395312444,K1
purple_7,188,513.333573431746,K1
purple_8,31,105.997258924955,K1
purple_8,53,181.575349476823,K1
purple_8,93,319.170790143058,K1
purple_8,130,414.479991651795,K1
purple_8,174,489.043353323308,K1
blue_9,32,165.115213979439,K2
blue_9,45,173.955937998234,K2
blue_9,105,224.598241138577,K2
blue_9,140,260.884622065376,K2
blue_9,187,280.663532138363,K2
blue_10,21,137.265532434997,K2
blue_10,69,170.904831571511,K2
blue_10,90,190.175755144843,K2
blue_10,121,219.279074550229,K2
blue_10,200,239.887266910082,K2
blue_11,32,157.772189535739,K2
blue_11,61,186.76796426934,K2
blue_11,120,219.422382314357,K2
blue_11,136,232.680552692328,K2
blue_11,195,245.273498519337,K2
blue_12,28,135.485047724111,K2
blue_12,57,153.888554434954,K2
blue_12,103,208.929352761827,K2
blue_12,139,224.041997952284,K2
blue_12,186,253.483226299395,K2
